"Type.Of.Traveler","Seat.Type","Date.Flown","Recommended","Seat.Comfort","Cabin.Staff.Services","Food.Beverages","Inflight.Entertainment","Ground.Service","Wifi","Value.For.Money","Reviews","Total.Ratings","Verification","Origin","Destination"
"Solo Leisure","Economy Class","02-23","yes",1,2,3,4,5,1,2," This is specifically for Delta within JFK. I have never experience a more unprofessional experience when flying. I understand that the employees deal with all types of people but at my gate check, after I had been bumped from my flight (10-15 mins post boarding start) and the attendant then tell me ""you have the wrong time"" and proceed to tell me that I can board if someone is missing only AFTER the standby people (which she confirmed were not bumped from the flight). Then customer service told me all they could do was provide $25. No worries Delta will not be planning a trip voluntarily with this airline.",2.57142857142857,"Trip Verified","Ontario","Salt Lake City"
"Business","Economy Class","02-23","yes",3,4,5,1,2,3,4," The Delta Air Line Service counter in Salt Lake City was exceptional. I had to change plane tickets earlier that morning due to a late arriving plane from another Delta Affiliated airline. I was traveling with 3 people and we could not get three seat side by side. Once we arrive in SLC I discussed the matter with the Gate Attendant and they were able to help us and make sure we all traveled together. I am really appreciative of such a professional and accommodating staff.",3.14285714285714,"Not Verified","Nashville","Atlanta"
"Solo Leisure","Economy Class","02-23","no",5,1,2,1,2,3,4," I flew from Toronto to Ft. Lauderdale on February 19th and was scheduled to return to Toronto on February 22 via Atlanta. That day Toronto was set to experience a snowstorm so I contacted Delta to inquire as to the status of my flight. I was put on hold and greeted by a sympathetic agent who could not help me. She immediately transferred me to a more senior agent who was very helpful, re-booking my flight for February 24 via La Guardia. On February 24 as we were about to board our flight we were told the flight would be delayed due to high winds in New York. I approached the agent for assistance as this delay would cause me to miss my connector flight to Toronto. She gave me the option to wait for further information and hope to get on a later flight standby or re-book another flight. Unfortunately, due to it being the Spring Break week, all flights were sold out and overbooked however she kept trying and eventually was able to offer me a flight at another airport February 26th. Again, I rebooked. On February 26th the scene at the airport was one of chaos due to holiday travel. The agents were most helpful and accommodating. On my flight from Atlanta to Toronto, again the flight crews and desk agents were so helpful and accommodating. I felt appreciated to be their customer and I felt they listened and wanted to help me! I want to thank Delta for their amazing customer service!",2.57142857142857,"Trip Verified","Detroit","Ft Lauderdale"
"Couple Leisure","First Class","02-23","no",1,2,3,4,1,1,1," Delta is getting horrible at being on time. Sitting now for my next flight, late again. Way to go Delta another flight delay due to aircraft, no ground crew or pilots. Are you becoming an overpriced Southwest?",1.85714285714286,"Trip Verified","Cleveland","Maui"
"Couple Leisure","Economy Class","02-23","no",1,1,1,1,1,1,1," Original departure time was 10:05am. when I arrived 2 hours early, the plane had too much fuel on board, so after an hour or so they had to send a truck to empty some fuel. the truck they sent was full, so had to wait another hour or so for a new truck to come get some fuel out. We had boarded the plane, by that time, a crew member timed out. We were de-boarded because ""Delta cant have you on the plane for 3 hours (probably because they'd have to refund us at that time) and we were told ""there is another crew member on standby at the lounge. They should be here in about 10 minutes"" - an hour later, still no crew member. By the time the replacement crew member got to us, a pilot had to be replaced due to their time being up as well. Another hour or so later, another plane pulled up to the next gate and we inherited their crew and pilots. Finally boarded again, and after 30 min on the tarmack, were told the plane needed fuel so we were waiting for a fuel truck. An hour later we were waiting on a fuel slip after the truck was done and we were good to depart. Absolutely ridiculous experience. I paid almost $1000 for this trip and specifically chose delta because this experience isn't typical to them. In hindsight, i should have flown another airline. I probably would have had a similar experience with Spirit, but it would have only cost me half of what delta did.  One more addition. My return flight was delayed due to ""mechanical issue"" which was later described in an email from delta as ""damage to the aircraft"" - on that flight customers were offered $800 to switch to a later flight. I paid $1000, for that trip, and delta refused to refund any more than $140. After my email response, i was told any more communication about this issue would be pointless.",1,"Trip Verified","Ft Lauderdale","LaGuardia"
"Business","Economy Class","02-23","no",1,1,1,1,1,1,1,"My wife and I flew First Class and Delta One flights from Cleveland, Ohio to Maui and back and had the following problems and delays on our flights. The first issue was on February 18, 2023 with our Delta One flight from Atlanta when we had to sit on the plane for over an hour because of some unknown maintenance issues before taking off late. Once we landed at Kahului, HI airport we sat on the tarmac for two hours before pulling up to the gate to unload. We were told by the pilot the reason was we had such a strong tailwind arriving early (not the case) along with many planes ahead of us that needed unloaded too. Thus, everyone had to sit on this plane for over 13 hours! On February 25, 2023 on our return Flight from Maui, HI we boarded the plane 1.5 hours later than scheduled because our plane had been sitting out on the tarmac for some reason waiting to pull up the the gate delaying our take-off by this long. When we boarded our Flight in Atlanta to return to Cleveland we sat in the plane for 1.5 hours being told by the pilot there were maintenance issues and ultimately had to add more fuel to the plane and waiting for the fuel truck to arrive with no estimated time being provided by anyone. All of these delays seem to be preventable by improvements in customer service i.e., better communications and your maintenance practices such as fuelling planes needs improved. These flights were a very disappointing experience. Then we are offered a $75 voucher eCredit, which is not useful. No interested in flying Delta after all these issues.",1,"Trip Verified","Atlanta","Savannah"
"Family Leisure","Economy Class","02-23","no",1,1,1,1,1,2,3,"Delta Airlines is the worst airline I have ever flown with. My flight was cancelled without any prior notice, and when I called their customer service line, I was on hold for hours. When I finally spoke to a representative, they were unhelpful and gave me no information about my options for rebooking my flight. The lack of communication from Delta Airlines was extremely frustrating. I had to spend hours trying to find out what was going on with my flight, and even then, I received no clear answers. To make matters worse, Delta Airlines' customer service was incredibly unhelpful. The representatives I spoke with were rude and dismissive, offering no assistance in rebooking my flight or providing any sort of compensation for the inconvenience. Overall, I would never recommend Delta Airlines to anyone. Their lack of communication and terrible customer service made for an incredibly frustrating and disappointing experience. If you value your time and sanity, I suggest looking elsewhere for your travel needs.",1.42857142857143,"Trip Verified","Oklahoma City","Salt Lake City"
"Couple Leisure","Economy Class","02-23","no",4,5,1,2,3,4,5,"  Traveling today 2/26 from ALT to SAV. Towards the end of boarding main cabin 2, all remaining passengers were told they would need their bags check as there is no further space available. I refused to checked my bag because I have flown multiple times and knew this is really never the case. I was still forced to check my bag or go back to the gate agent to have it removed. After discussing with flight attendant, I  let them take my bag. I went to my seat 34, my over head bin completely empty as were multiple others bins. This is very frustrating and should not occur.",3.42857142857143,"Not Verified","Denver","Rhode Island"
"Solo Leisure","Economy Class","02-23","no",1,2,3,4,5,1,2,"My first flight was delayed, we sat on the tarmac for hours and were not allowed to leave. As a result my hotel and rental bookings were cancelled. Now on my return flight they have cancelled my flight again because they said they don't have enough staff to fly.",2.57142857142857,"Trip Verified","New York","Tel Aviv"
"Business","Economy Class","02-23","no",3,4,5,1,2,3,4," My mom passed Jan 19, 2023. We needed to travel to Barcelona next day. Delta mad it very difficult to communicate with a real agent and and after calling 2-3 numbers, being on hold for over 15 minutes and starting a couple of chats we were forced to purchase 2 tickets at over $2,600 each. We were told at the airport that upon return, we could reach out to Delta to get the ""bereavement"" discount. After the dramatic experience and trip, we tried, in vain, to communicate with Delta to get the bereavement discount. After wasting even ore time completing customer service forms, talking to Delta people, chats, etc. we were told ""no"", bereavement fees were similar to what we paid, really? We fly to Europe every few months and we never paid over $1,600 on any flight particularly on economy. We believe Delta took advantage of our vulnerable situation knowing that because of our mother's sudden death, we have to travel regardless of cost. Another family member traveled with a different airline and they got bereavement fees and their trip was significantly less than ours.",3.14285714285714,"Trip Verified","Milwaukee","Ft Lauderdale"
"Business","Economy Class","09-22","no",5,1,2,3,4,5,1,"  Very negative experience. Flight delayed going to our destination, then they had troubles with jet bridge made us miss our connecting flight. Then that flight was delayed, we were put on standby. Then coming back our flight was delayed again 2 times for unknown reasons. Then they had trouble getting our luggage out. Last flight also having troubles with the jet bridge. -I would highly recommended flying with another airline.",3,"Not Verified","New York","Charlotte"
"Solo Leisure","Economy Class","01-23","no",2,3,4,5,1,1,1," First, travel starts 6pm arrival at the airport, flight to leave at 8:20pm. Delayed! So I miss my connection! The gate agent at beginning flight couldn’t even log into the system for 40 minutes because he couldn’t remember his password! Causing me to miss Any Outgoing flights to make My connection. Landed 25 minutes before my connection departs and After I run to the gate with no assistance from delta, no cart to Carry me, no communication with gate agent at connection. Making It 15 minutes before departure. They knew I was going to miss my connection! No one told me they would close the gate 15 minutes early out of all the gate agents and flight attendants. No one told me not to run! My Destination consists of a 10 hour flight that only flies at 11:30pm. So I had to Wait the entire next day. The gate agents at connecting flight laughed at my frustration and the sight of me running to the gate . I go looking for my bag while talking to my service and they keep telling me to find a ticket agent at the airport because all they do is book tickets and they can’t help with anything! Can’t find my bag, agent On the phone proceeds to tell me my luggage is at the destination. I get to the ticket agent says it’s not at the destination but won’t get it because it’s going on the next flight. They gave me a hotel voucher to the Trashiest hotel in town. I got to the nasty hotel at 2am and had to check out at 10am. They offer me $15 food voucher for 24hrs! Delta wouldn’t approve an extended stay. I had no clothes! Had to buy everything. Had to stay 13hrs at the airport! The whole time the airport agents tell me to call customer service for help and customer service tells me to talk to the ticket agents. Finally I get $500 ecredit as if I want to fly with delta again. My flight was $1200, hotel at destination that I missed was $500 a night non refundable!  I asked for delta lounge while I wait and denied!  Rude agents across the board. Told me that all my losses and inconvenience was only worth the ecredit! Nothing I can use separate from delta! Such a devalued customer to them! Why would I ever Want to trust them with my time and money. I was deemed unworthy of being a satisfied customer based On the opinion of staff who is not going through what I am and has not suffered my Losses.",2.42857142857143,"Trip Verified","Atlanta","Cape Town"
"Solo Leisure","Economy Class","02-23","yes",1,1,1,1,1,2,3," Delta did not issue any weather waivers so customers can change flights without incurring added costs even though the National Weather Service issued a Winter Storm Warning for our area, we are supposed to get 10 inches of snow, National weather reports indicate 30 million people will be impacted by the storm AND American, United and Southwest all have issued weather waivers. We wanted to take an earlier flight to avoid the storm today but they wanted to charge $1200 per ticket! All we can do now is sit here, watch the snowfall, and wait for our flight to be impacted/cancelled. We have a short 3 day trip and now it’s very likely to be ruined. Unbelievable really.",1.42857142857143,"Trip Verified","San Jose","Atlanta"
"Solo Leisure","First Class","01-23","yes",4,5,1,2,3,4,5," Per our pilot, there would be a slight delay due to a system/mechanical glitch. After waiting four hours we were told, the plane was returning back to the gate. We all assumed to swap out planes. However, when we got to the gate they said the flight was canceled due to weather conditions (no rain, snow or etc) and surrounding flights were still scheduled including Delta to the same location we were en route to. Additional costs were incurred due to this. The Delta's staff offered no vouchers for food, hotels or anything. Boarding the flight the next day, the new on flight staff apologized for the system issues and flight being rescheduled. They also advised us to contact Delta for compensation. Some flyers had already received refunds, vouchers and sky miles. I just received communication on 2/7/23 for my 9/12/22 advising me Delta does not compensate for weather conditions.  Delta will not do right until they are held accountable.",3.42857142857143,"Trip Verified","Los Angeles","Kona"
"Couple Leisure","Economy Class","10-22","yes",1,2,3,1,1,1,2," We flew from Atlanta to Cape Town and Back after month. Both times flying we had our baby stroller and car seat checked in. Upon receiving our stroller, the wheel was cracked, as well as the seat was completely snapped. This is an incredibly expensive and well built stroller. It was mishandled in a very inappropriate way. We reached out to the airline a day late per their 7 day policy, we understood completely that we did that, the reasoning was simple, we were in a strange country with no signal and had to figure out what to do. Delta took about 3 days to tell us what to do, that gave us 3 days to handle it and acquire signal, with a baby adjusting to a new country. My wife has been a member of delta for over 6 years and swears by them, she only flies delta. Our claim was initiated and we were very polite to communicate. This was Deltas head baggage control managers response. He said that we aren't at all going to issue anything. He left us with a delta $100 travel voucher. He was rude, he never replied to the email that we sent back begging to help us and understand that we were a day late on our claim. We need a stroller, that's what our baby needs, Delta broke it and they aren't taking any responsibility.",1.57142857142857,"Trip Verified","Orlando","New York"
"Solo Leisure","Economy Class","02-23","no",1,2,3,1,1,2,1," Checkin staff always seem unfriendly, no matter how much you smile and be friendly to them. They are the face of Delta - not just cabin crew! I arrive at SKY priority - no ‘hello, no how is your day’, just notices an old luggage tag and asks me to remove it and put it on the bin. Fair enough I thought, my fault. I either forget or simply the tags are nearly glued on and just wait for use their scissors. I regularly fly top tier with other delta compatible / SKY team airlines. So, I ask if I can use delta lounge. The answer is no. I ask to double check but get told to ask lounge staff instead - Who later said yes. Isn’t this on the computer? No goodbye. “Security is over there”, no smile - not once. I get that they do the same thing countless times each day, but isn’t it their job to greet people? Do I need to tip for giving my suitcase to get a fake smile? Come on Delta. A smile really makes it appear that you pretend to care. Sadly, the checkin experience downgraded to 3. Cabin staff much better, on most occasions.",1.57142857142857,"Trip Verified","Bangkok","Incheon, Seattle"
"Family Leisure","Economy Class","01-23","yes",1,2,3,4,5,1,2,"  After a horrible experience on Spirit Air to go on vacation. I got to fly Delta home. Very tired after a great trip the flight crew were kind and professional, the seats recline. It truly is the little things, a soda, a pair of headphones etc.. But it’s the attitude of the employees at Delta that I am on here to thank and commend. Two experiences were night and day Thanks Delta I will be selecting you again for my next trip.",2.57142857142857,"Not Verified","San Jose","Augusta"
"Family Leisure","Premium Economy","01-23","no",3,4,5,1,2,3,4,"Mixed bag. Crew was excellent. Really tried hard to make up for an aircraft that was very old. Window shade, overhead light, remote - broken. Screen tiny. Pre-ordered meal pathetic. Wrapped cookie on the tray for dessert, no bread. I was so happy to have a wide body to Kona which is a rarity these days but the dinosaur they pulled out was in need of euthanasia. I only hope aircraft maintenance was better than the cabin. Truly the crew was embarrassed and constantly apologizing. I really felt bad for them. On the plus side, Wi-Fi occasionally worked but was not free as advertised.",3.14285714285714,"Trip Verified","Boston","Millbury"
"Family Leisure","Economy Class","11-22","no",5,1,2,3,4,5,1,"  Our flight was to leave JFK on October 13th 2022 at 5pm and to arrive in Lisbon at 8am next day. We had hotel booked in Portugal and a business seminar scheduled for October 15th. All of a sudden our flight was delayed, and then delayed a 2nd time in which Delta offered a $500 voucher to me and my husband. By 3 am we were still in NY and then the flight got cancelled. We lost our hotel in Portugal but still had to pay for it, they booked us a flight in economy to Paris and then to Lisbon on the 14th and by the time we made it to Lisbon we had no bags. Our bags only showed up 3 days later. I filed a claimed and Delta thinks the $500 voucher is compensation enough. I am a yearly paying customer and reconsidering dropping them since that doesn't mean anything to them. Delta is only here to get your money and not caring for anything else. Very disappointed and going to file a second claim.",3,"Not Verified","Montego Bay","New York"
"Solo Leisure","Economy Class","01-23","yes",2,3,4,5,1,2,3," Seats were packed like egg-case, I am a small person but everyone's shoulder was touching each other. Super uncomfortable. One less then average meal plus a sandwich before landing is not okay for a 9 hr flight. Only sport you can watch is golf, very strange. I don't think I will want to fly with Delta for a long while.",2.85714285714286,"Not Verified","Orlando","Minneapolis"
"Solo Leisure","Premium Economy","01-23","no",4,5,1,2,3,4,1,"Beware checked bag may not arrive with you at the final destination! I flew home from my Vacation only to find out that my checked bag never make it. At no point did Delta inform me that there was a problem or offer a solution to the problem. I have to call Delta 1800 number 4 times, each time around 30 minutes wait, only to be told that the bag never left CA and that they don't know why. If and when the bag arrive at the final Destination, then I have to call the 1800 number to verify that the bag arrived before heading to the airport. Delta apps does not reflect the reality. 2 Days after I return from my trip will I go to the airport and claim my bag..",2.85714285714286,"Trip Verified","Tokyo","Detroit"
"Solo Leisure","Economy Class","12-22","yes",2,3,4,5,1,2,3," We had absolutely amazing flight experience. However, we left Boston with 6 people out of 12 who had never flown 2 being infants and the experience getting on the plane was horrible. They were so rude to the people who were inexperienced flyers. We were shocked as 2 had infants and one was disabled.",2.85714285714286,"Not Verified","Bogota","New York"
"Solo Leisure","Economy Class","01-23","yes",4,5,1,2,3,4,5," Despite the rudeness at the JFK airport, the flight to Jamaica was absolutely great! The flight attendants were very nice, and the snacks were delicious! They also had Coca-Cola. The TV on the airline was not the best, but everything else was great! Before we knew it, we had landed in Montego Bay, Jamaica. I highly recommend this airline!",3.42857142857143,"Not Verified","Jackson","Atlanta"
"Couple Leisure","Business Class","12-22","yes",1,2,3,4,5,1,2," I purchased this ticket in September 2022 and chose my seat. I received email confirmation. The day before this flight, I received a notice that the airplane would be changed, but there was no mention of the need to get a new seat assignment. When I checked in via phone, I received confirmation of checking in, but no indication of the need to choose a seat. When I arrived at the airport, I was shocked to discover that I no longer had a seat on the plan. After a long conversation with a very unhelpful and unsympathetic agent, he assigned me to a window seat in the very back of the plane. The plane was dirty, smelly, and only one of the video screens in our row actually worked, which made even more people angry. My daughter and grandson were told they didn't have seats on the plane at all and had to wait until the whole plane was loaded to be placed in random seats, so our party could not sit together. I am exceptionally disappointed in how I was treated. I purchased a seat, but for some reason, my purchase was not honored.",2.57142857142857,"Trip Verified","New Orleans","Frankfurt"
"Solo Leisure","Economy Class","01-23","no",3,4,5,1,2,3,4," I like Delta a lot especially amongst US legacy carriers. The hard products are fantastic, such as the free inflight wifi I am using to write this review now at 35000 feet. My international leg from Tokyo to Detroit was decent-comfortable comfort plus seat, entertainment and amenities. The crew aboard was an older team, hence just went through the motions without much personal touch. The meals on the international leg left a lot to be desired as it lacked quantity and substance. I was hungry. My second leg was nice too. Crew were very friendly, present and eager to provide customer service. Enjoyed the abundance of free snacks and drink rounds. I loved the Delta beer that is unique to only Delta. Overall, Delta has the ball on its operation and I appreciate all the investments they are making, which makes their service fairly consistent.",3.14285714285714,"Trip Verified","Atlanta","Panama City"
"Business","Economy Class","01-23","no",1,1,2,1,2,1,2," As a loyal Delta customer I was a little disappointed with some crew members not being the nicest on this flight otherwise it would have been a usual five star delta rating. Check in at El Dorado was a breeze and people who work for Delta at the airport were quite nice. As usual I try to board the plane last if I fly economy in case there is an empty row and to my surprise half the flight was full so rather than sitting next to someone the lead flight attendant said I could sit anywhere and I sat behind the exit row. Prior to take off one of the crew members was quite rude to a Spanish speaking customer, made a comment about how he needed to learn English and kept on complaining to his co-worker how tired he was and this and that. Definitely not professional, and non the less rude especially considering you’re on a flight from Latin America to the United States. Every seat had a blanket and pillow, prior to take off we were provided with hand sanitizer, a small amenity kit with ear plugs and an eye mask and headphones. After take off drinks and a small snack consisting of a cold pastry with chicken, fruit and a chocolate were given out along with drinks including alcoholic beverages. In the back galley there were snacks for anyone who wasn’t asleep on this red eye. Aside from that crew member everyone else was very professional and nice as usual. There’s a good selection of movies and music but nothing had changed from what they had the month before when I flew to Bogota. Overall I would say 8/10.",1.42857142857143,"Trip Verified","Tokyo","Detroit"
"Couple Leisure","Economy Class","01-23","no",1,1,2,1,1,2,3,"  I gave up an assigned seat for a passenger traveling with his family in order that he could fly with his wife and two children. I was offered compensation of $500 and a full ticket to fly at a later date. I did receive the ticket, but only half the money. As of today's date of 20 January, 2023, I've only received $250 of the $500. I've contacted Delta Airlines over 18 times, and was told this morning it will probably be another 7 to 10 days before I hear back if Delta has resolve this problem. I will never fly Delta Airlines again, and if I have no other choice but to, I definitely will never volunteer to give up a seat to fly at a later date! This has been pain in the ass trying to collect the $250 owed to me, and I still haven't received the money!",1.57142857142857,"Not Verified","Burlington","New York"
"Solo Leisure","Economy Class","01-23","no",1,2,3,1,2,3,1,"Considering it was the holidays, there were minimal issues. The staff were friendly on both legs of my trip. The airport had passport issues but nothing on the part of Delta. My bags arrived to both destinations on time. I fly Delta 3-4 times a year and always been on time without incident. Friendly, efficient, timely, couldn't ask for more in this insane world of travel.",1.85714285714286,"Trip Verified","Toronto","New York"
"Couple Leisure","Economy Class","01-23","no",2,3,1,2,3,1,2,"  Awful experience. We boarded the plane and backed out of the gate when the pilot came on and told us our flight was cancelled due to fog. (Which is fine better safe than sorry) but the next flight wasn't scheduled until 8:45 am the next day. The Atlanta Airport is an absolute nightmare. There were no hotels available in the area and no rental cars available. Delta offered no assistance whatsoever. No compensation, not even a food voucher. We had to sleep in the airport which was scary to say the least. This was two days ago and we have yet to see any sort of apology or compensation for our terrible experience. They just left us stranded for a whole night. They would not even give us our luggage when we were trying to find a rental car. To get from Las Vegas back to PCB took a day and a half. We could have just driven and gotten there sooner.",2,"Not Verified","Denver","Boston"
"Solo Leisure","Economy Class","01-23","no",3,1,1,2,3,4,5," I planned a trip to visit my daughter for New Year's as I was unable to see her or any of my family for Christmas due to the storm. My first flight was delayed over an hour due to ""mechanical issues"" causing me to miss my connecting flight in Detroit by 10-15 minutes, and passengers were not allowed to de-board the plane and opt to stay in Buffalo rather than continue with the flight. Despite requests from my daughter, who had the same connection in Detroit, Delta would not hold the plane so that I could make the connection. My daughter was able to change the itinerary so that I could still make it before midnight, but it involved me now flying 4 flights rather than 2. Again, the 3rd flight was delayed causing me to miss my connecting flight by 10-15 minutes again, and again Delta was unwilling to hold the plane. Because of this, I was forced to stay in Atlanta overnight by myself instead of spending the holiday with my family. I reached out to Delta's customer service requesting a refund but they would only offer a $100 travel voucher (mind you, my ticket was about $260 initially) as the itinerary was already flown (despite the fact that the only reason I flew the itinerary is because I was not allowed off my plane in Buffalo). I requested numerous times to be escalated to a supervisor but the Delta customer service rep refused, and then responded saying she would no longer respond to my correspondence. I have now been left with no choice but to file complaints with the BBB and DOT. Needless to say, neither myself nor my family will ever be flying with Delta again, and I would advise to anyone I know the same.",2.71428571428571,"Trip Verified","Boston","Atlanta"
"Solo Leisure","Economy Class","01-23","no",1,2,3,4,5,1,2," I was waiting to collect my checked-in baggage for more than an hour before I was told by Delta that they have mishandled my baggage and so it will not arrive on the same day. The baggage arrived at midnight of the next day. Awful experience.",2.57142857142857,"Trip Verified","Boston","Portland"
